path,reference,hypothesis,reference_norm,hypothesis_norm,wer,cer
054_Гумерова Гальсар.alignment_0006.wav,"Башҡортостан, беҙ һине һөйәбеҙ, яратабыҙ , һин бит тыуған еребеҙ, Әсәйебеҙ, атабыҙ!","Башҡортостанбыҙ һине һөйәбеҙ, яратабыҙ, һин бит беҙҙең еребеҙ, әсәйебеҙ атабыҙ.",башҡортостан беҙ һине һөйәбеҙ яратабыҙ һин бит тыуған еребеҙ әсәйебеҙ атабыҙ,башҡортостанбыҙ һине һөйәбеҙ яратабыҙ һин бит беҙҙең еребеҙ әсәйебеҙ атабыҙ,0.2727272727272727,0.10526315789473684
054_Гумерова Гальсар.alignment_0007.wav,"Киң Рәсәй илендә Үҫкән матур сәскә һин, Дуҫ илдәр менән бергә Сәскә булып йәшә һин!","Киңласа елендә, үскәм атыл сәскәһен, Дуҫилдары менән бергә, сәскә булып йәшәһен.",киң рәсәй илендә үҫкән матур сәскә һин дуҫ илдәр менән бергә сәскә булып йәшә һин,киңласа елендә үскәм атыл сәскәһен дуҫилдары менән бергә сәскә булып йәшәһен,0.7333333333333333,0.2222222222222222
145_Зайнетдинов Зуфар.alignment_0001.wav,"Башҡортостан, һин беҙҙең Тыуған, үҫкән илебеҙ.","Поскатостан, киң беҙҙең түгән, стенебеҙ.",башҡортостан һин беҙҙең тыуған үҫкән илебеҙ,поскатостан киң беҙҙең түгән стенебеҙ,0.8333333333333334,0.4418604651162791
145_Зайнетдинов Зуфар.alignment_0002.wav,"Беҙгә икмәк, өй биргән, һыуын эскән еребеҙ.","Беҙгә икмәк, ой, бөлгән, һалын ескәнебеҙ.",беҙгә икмәк өй биргән һыуын эскән еребеҙ,беҙгә икмәк ой бөлгән һалын ескәнебеҙ,0.7142857142857143,0.225
145_Зайнетдинов Зуфар.alignment_0003.wav,"Тауың бирә һары алтын, Ерең бирә ҡара алтын.","Тауым бейә һылалтың, ерек, ембейә ҡала алтың.",тауың бирә һары алтын ерең бирә ҡара алтын,тауым бейә һылалтың ерек ембейә ҡала алтың,1.0,0.3333333333333333
145_Зайнетдинов Зуфар.alignment_0004.wav,"Балыҡҡа бай һыуҙарың, Ашлыҡҡа бай ҡырҙарың.","Балҡа бай һыу зарын, ысыҡа бай ҡыр зарын.",балыҡҡа бай һыуҙарың ашлыҡҡа бай ҡырҙарың,балҡа бай һыу зарын ысыҡа бай ҡыр зарын,1.0,0.2926829268292683
145_Зайнетдинов Зуфар.alignment_0005.wav,"Ағасҡа бай урманың, Таҡыр һинең юлдарың, Матур һинең ҡырҙарың , Батыр һинең улдарың.","Ҡазалын, ағасҡа, бай, уманым.",ағасҡа бай урманың таҡыр һинең юлдарың матур һинең ҡырҙарың батыр һинең улдарың,ҡазалын ағасҡа бай уманым,0.9166666666666666,0.7848101265822784
145_Зайнетдинов Зуфар.alignment_0006.wav,"Башҡортостан, беҙ һине һөйәбеҙ, яратабыҙ , һин бит тыуған еребеҙ, Әсәйебеҙ, атабыҙ!","— тип ҡыл һине, йылдағым, матул һине, ҡыҙҙы.",башҡортостан беҙ һине һөйәбеҙ яратабыҙ һин бит тыуған еребеҙ әсәйебеҙ атабыҙ,тип ҡыл һине йылдағым матул һине ҡыҙҙы,0.9090909090909091,0.75
145_Зайнетдинов Зуфар.alignment_0007.wav,"Киң Рәсәй илендә Үҫкән матур сәскә һин, Дуҫ илдәр менән бергә Сәскә булып йәшә һин!","Ҡайҙаға ҡарап, ҡайҙаға ҡарап, ҡайҙаға ҡарап, ҡайҙаға ҡарап, ҡайҙаға ҡарап, ҡайҙаға ҡарап, ҡайҙаға ҡарап, ҡайҙаға ҡарап, ҡайҙаға ҡарап, ҡайҙаға ҡарап, ҡайҙаға ҡарап, ҡайҙаға ҡарап, ҡайҙаға ҡарап, ҡайҙаға ҡарап, �",киң рәсәй илендә үҫкән матур сәскә һин дуҫ илдәр менән бергә сәскә булып йәшә һин,ҡайҙаға ҡарап ҡайҙаға ҡарап ҡайҙаға ҡарап ҡайҙаға ҡарап ҡайҙаға ҡарап ҡайҙаға ҡарап ҡайҙаға ҡарап ҡайҙаға ҡарап ҡайҙаға ҡарап ҡайҙаға ҡарап ҡайҙаға ҡарап ҡайҙаға ҡарап ҡайҙаға ҡарап ҡайҙаға ҡарап,1.8666666666666667,2.1358024691358026
148_Зайнетдинов Алмаз.alignment_0001.wav,"Башҡортостан, һин беҙҙең Тыуған, үҫкән илебеҙ.","Башҡортостан, һин беҙҙең туған өҫкә илебеҙ!",башҡортостан һин беҙҙең тыуған үҫкән илебеҙ,башҡортостан һин беҙҙең туған өҫкә илебеҙ,0.3333333333333333,0.06976744186046512
148_Зайнетдинов Алмаз.alignment_0002.wav,"Беҙгә икмәк, өй биргән, һыуын эскән еребеҙ.","Беҙгә икмәк өй бергән, тыуыҙ эҫкән еребеҙ.",беҙгә икмәк өй биргән һыуын эскән еребеҙ,беҙгә икмәк өй бергән тыуыҙ эҫкән еребеҙ,0.42857142857142855,0.1
148_Зайнетдинов Алмаз.alignment_0003.wav,"Тауың бирә һары алтын, Ерең бирә ҡара алтын.","Тауым бирә, ҡары алтын, Ерәм бирә, ҡара алтын.",тауың бирә һары алтын ерең бирә ҡара алтын,тауым бирә ҡары алтын ерәм бирә ҡара алтын,0.375,0.09523809523809523
148_Зайнетдинов Алмаз.alignment_0004.wav,"Балыҡҡа бай һыуҙарың, Ашлыҡҡа бай ҡырҙарың.",Былай булған.,балыҡҡа бай һыуҙарың ашлыҡҡа бай ҡырҙарың,былай булған,1.0,0.8048780487804879
148_Зайнетдинов Алмаз.alignment_0005.wav,"Ағасҡа бай урманың, Таҡыр һинең юлдарың, Матур һинең ҡырҙарың , Батыр һинең улдарың.",Ашлыҡҡа бай ҡырҙарың.,ағасҡа бай урманың таҡыр һинең юлдарың матур һинең ҡырҙарың батыр һинең улдарың,ашлыҡҡа бай ҡырҙарың,0.8333333333333334,0.810126582278481
148_Зайнетдинов Алмаз.alignment_0006.wav,"Башҡортостан, беҙ һине һөйәбеҙ, яратабыҙ , һин бит тыуған еребеҙ, Әсәйебеҙ, атабыҙ!","Ағасҡа бай улманың тәкәрһенең юлдары, натур һине.",башҡортостан беҙ һине һөйәбеҙ яратабыҙ һин бит тыуған еребеҙ әсәйебеҙ атабыҙ,ағасҡа бай улманың тәкәрһенең юлдары натур һине,1.0,0.8026315789473685
148_Зайнетдинов Алмаз.alignment_0007.wav,"Киң Рәсәй илендә Үҫкән матур сәскә һин, Дуҫ илдәр менән бергә Сәскә булып йәшә һин!","Был һинең ҡыҙарың, матур һинең улдарың.",киң рәсәй илендә үҫкән матур сәскә һин дуҫ илдәр менән бергә сәскә булып йәшә һин,был һинең ҡыҙарың матур һинең улдарың,0.9333333333333333,0.7777777777777778
100_Кинзябаева Вахида.alignment_0001.wav,"Әсәйемдән хәҙер олораҡмын , Байтаҡ инде унан уҙғанға, Мин дә әле ҡарт түгелмен кеүек - Үтә иртә әсәй ҡуҙғалған.","Әсәйемдән хәҙер олораҡмын, Байтаҡ инде унан уҙғанға, Мин дә әле ҡарттығыҙ мен кеүек, Үтә иртә, әсәй, ҡулһалған.",әсәйемдән хәҙер олораҡмын байтаҡ инде унан уҙғанға мин дә әле ҡарт түгелмен кеүек үтә иртә әсәй ҡуҙғалған,әсәйемдән хәҙер олораҡмын байтаҡ инде унан уҙғанға мин дә әле ҡарттығыҙ мен кеүек үтә иртә әсәй ҡулһалған,0.17647058823529413,0.0761904761904762
100_Кинзябаева Вахида.alignment_0002.wav,"Сәфәр сыҡһа, гел ашығыр булды, Хатта беҙҙе күрә килгәндә, Фани донъяларҙа үтер юлы Ҡыҫҡа икәнлеген белгәндәй.","Сәфәр сыҡһа, гел ашығыр ине, Хатта беҙҙе күрә килгәндә, Фани донъяларҙа үтер юлы, Ҡыҫҡа һикәнлеген килгәндәй.",сәфәр сыҡһа гел ашығыр булды хатта беҙҙе күрә килгәндә фани донъяларҙа үтер юлы ҡыҫҡа икәнлеген белгәндәй,сәфәр сыҡһа гел ашығыр ине хатта беҙҙе күрә килгәндә фани донъяларҙа үтер юлы ҡыҫҡа һикәнлеген килгәндәй,0.1875,0.0761904761904762
100_Кинзябаева Вахида.alignment_0003.wav,"Биш балам, тип, биш бармағым ғына , Ауырта, тип, тешлә ҡайһыһын, Иңдәренә алды әсәйебеҙ Шатлығынан бикәр ҡайғыһын.","Биш балам тип, биш бармағым ғына, ауырта тип, тешлә ҡайғығым, — тимдәренә һалды әсәйебеҙ, шатлығынан бигерәк, ҡайғыһым.",биш балам тип биш бармағым ғына ауырта тип тешлә ҡайһыһын иңдәренә алды әсәйебеҙ шатлығынан бикәр ҡайғыһын,биш балам тип биш бармағым ғына ауырта тип тешлә ҡайғығым тимдәренә һалды әсәйебеҙ шатлығынан бигерәк ҡайғыһым,0.3125,0.10377358490566038
100_Кинзябаева Вахида.alignment_0004.wav,"Иртә остоҡ тыуған оябыҙҙан, Буш ҡалдырып ҡанат аҫтарын Ул йылытҡан беҙҙе, ә беҙ уны - Һиҙмәгәнбеҙ бергә саҡтарын.","Иртә остыҡ, тыуған оябыҙҙан, Буш ҡалдырып, ҡанат аҫтарым, Ул йылытҡан беҙҙе, ә беҙ уның һилмәгәнбеҙ, Бергә саҡтарым.",иртә остоҡ тыуған оябыҙҙан буш ҡалдырып ҡанат аҫтарын ул йылытҡан беҙҙе ә беҙ уны һиҙмәгәнбеҙ бергә саҡтарын,иртә остыҡ тыуған оябыҙҙан буш ҡалдырып ҡанат аҫтарым ул йылытҡан беҙҙе ә беҙ уның һилмәгәнбеҙ бергә саҡтарым,0.29411764705882354,0.046296296296296294
100_Кинзябаева Вахида.alignment_0005.wav,"Көтөп кенә торған икән һыуыҡ - Бәреп ингән боҙло тындары, Йәй уҙмаҫтан ҡыш та килә икән, Ҡарҙар итеп һибеп моң-зарын.","Көтөк кенә торған икән һыуып, Бәреп инде боҙоло тындары, Йәй уҙмаҫтан, ҡыш та килә икән, Ҡартар итеп һибеп, моң зарын.",көтөп кенә торған икән һыуыҡ бәреп ингән боҙло тындары йәй уҙмаҫтан ҡыш та килә икән ҡарҙар итеп һибеп моң зарын,көтөк кенә торған икән һыуып бәреп инде боҙоло тындары йәй уҙмаҫтан ҡыш та килә икән ҡартар итеп һибеп моң зарын,0.25,0.0625
100_Кинзябаева Вахида.alignment_0006.wav,"Әй ашығыр инең, әсәй, юлға, Вокзалдарға төшөп күп алдан.","Эй, ашығыр инең, әсәй, ваҡзалдарға төшөп, иң алдан.",әй ашығыр инең әсәй юлға вокзалдарға төшөп күп алдан,эй ашығыр инең әсәй ваҡзалдарға төшөп иң алдан,0.4444444444444444,0.21153846153846154
100_Кинзябаева Вахида.alignment_0008.wav,"Ахыры, һине иртә килгән состав, Билетыңа ҡарап-нитеп тормай, Һуңғы юлға алып юғалған Әй ашыҡтың, әсәй...","Ахыры һине, иртә килгән застав, Билетыңа ҡарап, нитеп тормай, Һуңғы юлға алып, ҡуҙғалған.",ахыры һине иртә килгән состав билетыңа ҡарап нитеп тормай һуңғы юлға алып юғалған әй ашыҡтың әсәй,ахыры һине иртә килгән застав билетыңа ҡарап нитеп тормай һуңғы юлға алып ҡуҙғалған,0.3125,0.21649484536082475
082_Хаерзаманова Ралина.alignment_0001.wav,"Сәскәләрҙең алдары, Алмалары, сейәһе, Еләктәре, балдары, Ҡуҙғалаҡлы яланы, Ҡымыҙлығы, баланы, Күп балыҡлы йылғаһы, Бейек-бейек тауҙары, Бөҙрә сәсле талдары — Барыһы тыуған еремдә — Башҡортостан илендә.","Сәскәләрҙең алдары, алмалары, сейәһе, йәләктәре баландары, кузғалаклы яланы, күпбалаклы илһаһы, бейек-бейек, тауызары, бәсрә сөслө талдары, барыһы, теүһам ярымды, башҡортостан иләнде.",сәскәләрҙең алдары алмалары сейәһе еләктәре балдары ҡуҙғалаҡлы яланы ҡымыҙлығы баланы күп балыҡлы йылғаһы бейек бейек тауҙары бөҙрә сәсле талдары барыһы тыуған еремдә башҡортостан илендә,сәскәләрҙең алдары алмалары сейәһе йәләктәре баландары кузғалаклы яланы күпбалаклы илһаһы бейек бейек тауызары бәсрә сөслө талдары барыһы теүһам ярымды башҡортостан иләнде,0.5833333333333334,0.24193548387096775
102_Мардиева Ленария.alignment_0001.wav,"Рус түгелмен, ләкин россиян мин, Совет Ватанының улымын.","Мин һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң, һуң",рус түгелмен ләкин россиян мин совет ватанының улымын,мин һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң һуң,4.125,2.2830188679245285
102_Мардиева Ленария.alignment_0002.wav,Ниндәй яҡты бейеклектәренә бөгөн Күтәреләм йәшәү юлының!,— тип һәйләнәй.,ниндәй яҡты бейеклектәренә бөгөн күтәреләм йәшәү юлының,тип һәйләнәй,1.0,0.8545454545454545
102_Мардиева Ленария.alignment_0003.wav,"Күңелемдә минең сыуағы, Күҙҙәремдә - ҡояш нурҙары, Йөрәгемдә - мең йыл тотҡонлоҡто Үтеп сыҡҡан өмөт йырҙары.","Русты ғилмен, ләкин...",күңелемдә минең сыуағы күҙҙәремдә ҡояш нурҙары йөрәгемдә мең йыл тотҡонлоҡто үтеп сыҡҡан өмөт йырҙары,русты ғилмен ләкин,1.0,0.9108910891089109
102_Мардиева Ленария.alignment_0004.wav,"Ерҙә нисек мин ныҡ баҫып торам, Ниндәй иркен алам һулышты!",— тип һәйбәт һәйбәт.,ерҙә нисек мин ныҡ баҫып торам ниндәй иркен алам һулышты,тип һәйбәт һәйбәт,1.0,0.8571428571428571
102_Мардиева Ленария.alignment_0005.wav,"Шуларҙың бит мин бөтәһе өсөн, Рус туғаным, һиңә бурыслы!",— тип һәйбәт.,шуларҙың бит мин бөтәһе өсөн рус туғаным һиңә бурыслы,тип һәйбәт,1.0,0.8867924528301887
102_Мардиева Ленария.alignment_0006.wav,"Һин тәм бирҙең минең икмәгемә, Һин тат бирҙең эскән һыуҙарға.",— тип һәйбәт һәйбәт.,һин тәм бирҙең минең икмәгемә һин тат бирҙең эскән һыуҙарға,тип һәйбәт һәйбәт,1.0,0.847457627118644
